"","community","species","family","Taxon","code","year_analisis","oil_type","oil_type_mg","oil_type_PER","PERoil"
"139","Mediterranean","Luzucaes","Juncaceae","Luzula caespitosa","110821-03",2023,"C22.2n6",0,0,3.372
"140","Mediterranean","Luzucaes","Juncaceae","Luzula caespitosa","110821-03",2023,"C24.0",0.1,0.28,3.372
"141","Mediterranean","Minurecu","Caryophyllaceae","Minuartia recurva","110821-07",2023,"C12.0",0,0,3.289
"142","Mediterranean","Minurecu","Caryophyllaceae","Minuartia recurva","110821-07",2023,"C14.0",0,0,3.289
"143","Mediterranean","Minurecu","Caryophyllaceae","Minuartia recurva","110821-07",2023,"C15.0",0,0,3.289
"144","Mediterranean","Minurecu","Caryophyllaceae","Minuartia recurva","110821-07",2023,"C16.0",4.36,13.25,3.289
"145","Mediterranean","Minurecu","Caryophyllaceae","Minuartia recurva","110821-07",2023,"C16.1n7",0.08,0.23,3.289
"146","Mediterranean","Minurecu","Caryophyllaceae","Minuartia recurva","110821-07",2023,"C17.0",0.05,0.15,3.289
"147","Mediterranean","Minurecu","Caryophyllaceae","Minuartia recurva","110821-07",2023,"C18.0",0.55,1.69,3.289
"148","Mediterranean","Minurecu","Caryophyllaceae","Minuartia recurva","110821-07",2023,"C18.1n7c",0.48,1.47,3.289
"149","Mediterranean","Minurecu","Caryophyllaceae","Minuartia recurva","110821-07",2023,"C18.1n9c",7.63,23.19,3.289
"150","Mediterranean","Minurecu","Caryophyllaceae","Minuartia recurva","110821-07",2023,"C18.2n6c",16.11,48.98,3.289
"151","Mediterranean","Minurecu","Caryophyllaceae","Minuartia recurva","110821-07",2023,"C18.3n3",0.59,1.8,3.289
"152","Mediterranean","Minurecu","Caryophyllaceae","Minuartia recurva","110821-07",2023,"C18.3n6",2.61,7.94,3.289
"153","Mediterranean","Minurecu","Caryophyllaceae","Minuartia recurva","110821-07",2023,"C18.4n3",0,0,3.289
"154","Mediterranean","Minurecu","Caryophyllaceae","Minuartia recurva","110821-07",2023,"C20.0",0.1,0.3,3.289
"155","Mediterranean","Minurecu","Caryophyllaceae","Minuartia recurva","110821-07",2023,"C20.1n9",0.14,0.43,3.289
"156","Mediterranean","Minurecu","Caryophyllaceae","Minuartia recurva","110821-07",2023,"C20.2n6",0,0,3.289
"157","Mediterranean","Minurecu","Caryophyllaceae","Minuartia recurva","110821-07",2023,"C22.0",0.06,0.19,3.289
"158","Mediterranean","Minurecu","Caryophyllaceae","Minuartia recurva","110821-07",2023,"C22.1n9",0,0,3.289
"159","Mediterranean","Minurecu","Caryophyllaceae","Minuartia recurva","110821-07",2023,"C22.2n6",0,0,3.289
"160","Mediterranean","Minurecu","Caryophyllaceae","Minuartia recurva","110821-07",2023,"C24.0",0.13,0.39,3.289
"161","Mediterranean","Neostrun","Poaceae","Neoschischkinia truncatula","250821-03",2023,"C12.0",0,0,3.265
"162","Mediterranean","Neostrun","Poaceae","Neoschischkinia truncatula","250821-03",2023,"C14.0",0.07,0.2,3.265
"163","Mediterranean","Neostrun","Poaceae","Neoschischkinia truncatula","250821-03",2023,"C15.0",0,0,3.265
"164","Mediterranean","Neostrun","Poaceae","Neoschischkinia truncatula","250821-03",2023,"C16.0",4.03,12.36,3.265
"165","Mediterranean","Neostrun","Poaceae","Neoschischkinia truncatula","250821-03",2023,"C16.1n7",0.07,0.2,3.265
"166","Mediterranean","Neostrun","Poaceae","Neoschischkinia truncatula","250821-03",2023,"C17.0",0,0,3.265
