ID.JUICE,Taxon_full,Taxon,family,Freq,Alpine,ecology,seed.oil,mean.value,Source
342,Pedicularis sylvatica,Pedicularis sylvatica,Orobanchaceae,9,Generalist,Generalist,gen.level,19.6,
343,Pedicularis verticillata,Pedicularis verticillata,Orobanchaceae,3,Generalist,Generalist,gen.level,19.6,
344,Petrocoptis pyrenaica subsp. glaucifolia,Petrocoptis pyrenaica,Caryophyllaceae,6,Generalist,Generalist,,,
345,Petrosedum forsterianum,Petrosedum forsterianum,,5,Generalist,Generalist,,,
346,Petrosedum sediforme,Petrosedum sediforme,,2,Casual,Generalist,,,
347,Phalacrocarpum oppositifolium subsp. anomalum,Phalacrocarpum oppositifolium,Asteraceae,95,Generalist,Generalist,,,
348,Phleum alpinum,Phleum alpinum,Poaceae,28,Specialist.4.3,Specialist,gen.level,4.6,
349,Phleum pratense,Phleum pratense,Poaceae,1,Casual,Generalist,sp.level,4.2,SID – Fadb
350,Physospermum cornubiense,Physospermum cornubiense,,1,Casual,Generalist,,,
351,Phyteuma hemisphaericum,Phyteuma hemisphaericum,Campanulaceae,60,Specialist.4.3,Specialist,sp.level,19.685,Own data
352,Phyteuma orbiculare,Phyteuma orbiculare,Campanulaceae,24,Generalist,Generalist,,,
353,Phyteuma spicatum,Phyteuma spicatum,Campanulaceae,2,Casual,Generalist,,,
354,Pilosella castellana,Pilosella castellana,Asteraceae,10,Generalist,Generalist,,,
355,Pilosella galiciana,Pilosella galiciana,Asteraceae,1,Casual,Generalist,,,
356,Pilosella hypeurya,Pilosella hypeurya,Asteraceae,5,Generalist,Generalist,,,
357,Pilosella lactucella,Pilosella lactucella,Asteraceae,6,Generalist,Generalist,,,
358,Pilosella officinarum,Pilosella officinarum,Asteraceae,54,Generalist,Generalist,,,
359,Pilosella pilosellina,Pilosella pilosellina,Asteraceae,3,Generalist,Generalist,,,
360,Pilosella saussureoides,Pilosella saussureoides,Asteraceae,1,Casual,Generalist,,,
361,Pilosella subtardans,Pilosella subtardans,Asteraceae,1,Casual,Generalist,,,
362,Pilosella tardans,Pilosella tardans,Asteraceae,5,Generalist,Generalist,,,
363,Pimpinella saxifraga,Pimpinella saxifraga,Apiaceae,1,Casual,Generalist,sp.level,29,Fadb
364,Pimpinella siifolia,Pimpinella siifolia,Apiaceae,6,Generalist,Generalist,gen.level,22.06923077,
365,Pimpinella tragium subsp. lithophila,Pimpinella tragium,Apiaceae,19,Generalist,Generalist,gen.level,22.06923077,
366,Pinguicula grandiflora,Pinguicula grandiflora,Lentibulariaceae,7,Generalist,Generalist,,,
367,Plantago alpina,Plantago alpina,Plantaginaceae,228,Specialist.4.4,Specialist,sp.level,10.529,Own data
368,Plantago atrata,Plantago atrata,Plantaginaceae,1,Casual,Generalist,gen.level,8.784878049,
369,Plantago holosteum,Plantago holosteum,Plantaginaceae,1,Casual,Generalist,sp.level,8.591,Own data
370,Plantago lanceolata,Plantago lanceolata,Plantaginaceae,4,Generalist,Generalist,sp.level,6.73,SID
371,Plantago media,Plantago media,Plantaginaceae,7,Generalist,Generalist,sp.level,9.7,Fadb
372,Poa alpina,Poa alpina,Poaceae,154,Specialist.4.4,Specialist,gen.level,4.1,
373,Poa cenisia,Poa cenisia,Poaceae,5,Generalist,Generalist,gen.level,4.1,
374,Poa chaixii,Poa chaixii,Poaceae,2,Casual,Generalist,gen.level,4.1,
375,Poa legionensis,Poa legionensis,Poaceae,19,Specialist.4.3,Specialist,gen.level,4.1,
376,Poa ligulata,Poa ligulata,Poaceae,7,Generalist,Generalist,gen.level,4.1,
377,Poa minor,Poa minor,Poaceae,12,Specialist.4.4,Specialist,gen.level,4.1,
378,Poa molinierii,Poa molinierii,Poaceae,6,Generalist,Generalist,gen.level,4.1,
379,Poa nemoralis,Poa nemoralis,Poaceae,3,Generalist,Generalist,sp.level,1.2,SID
380,Poa perconcinna,Poa perconcinna,Poaceae,16,Generalist,Generalist,gen.level,4.1,
381,Poa pratensis,Poa pratensis,Poaceae,2,Casual,Generalist,sp.level,5.75,SID – Fadb
382,Polygala edmundi,Polygala edmundi,Polygonaceae,21,Specialist.4.3,Specialist,gen.level,19.75,
383,Polygala serpyllifolia,Polygala serpyllifolia,Polygonaceae,8,Generalist,Generalist,gen.level,19.75,
384,Polygala vulgaris,Polygala vulgaris,Polygonaceae,8,Generalist,Generalist,gen.level,19.75,
385,Polygonum aviculare,Polygonum aviculare,Polygonaceae,2,Casual,Generalist,sp.level,35,Fadb
386,Polystichum lonchitis,Polystichum lonchitis,Dryopteridaceae,1,Casual,Generalist,,,
387,Potentilla asturica,Potentilla asturica,Rosaceae,3,Generalist,Generalist,gen.level,24.35555556,
388,Potentilla crantzii,Potentilla crantzii,Rosaceae,38,Generalist,Generalist,gen.level,24.35555556,
389,Potentilla erecta,Potentilla erecta,Rosaceae,30,Generalist,Generalist,gen.level,24.35555556,
391,Potentilla nivalis subsp. asturica,Potentilla nivalis,Rosaceae,26,Specialist.4.4,Specialist,gen.level,24.35555556,
392,Primula elatior subsp. intricata,Primula elatior,Primulaceae,5,Generalist,Generalist,sp.level,15.6,Fadb
393,Pulsatilla alpina,Pulsatilla alpina,Ranunculaceae,4,Generalist,Generalist,gen.level,15.2,
394,Pulsatilla vernalis,Pulsatilla vernalis,Ranunculaceae,3,Generalist,Generalist,gen.level,15.2,
395,Quercus orocantabrica,Quercus orocantabrica,,1,Casual,Generalist,gen.level,5.822222222,
396,Ranunculus acris subsp. friesianus,Ranunculus acris,Ranunculaceae,1,Casual,Generalist,gen.level,19.45833333,
397,Ranunculus alpestris subsp. leroyi,Ranunculus alpestris,Ranunculaceae,13,Specialist.4.4,Specialist,gen.level,19.45833333,
398,Ranunculus amplexicaulis,Ranunculus amplexicaulis,Ranunculaceae,12,Generalist,Generalist,gen.level,19.45833333,
399,Ranunculus bulbosus,Ranunculus bulbosus,Ranunculaceae,30,Generalist,Generalist,sp.level,18.2,Fadb
400,Ranunculus cabrerensis,Ranunculus cabrerensis,Ranunculaceae,1,Casual,Generalist,gen.level,19.45833333,
401,Ranunculus carinthiacus,Ranunculus carinthiacus,Ranunculaceae,61,Specialist.4.4,Specialist,gen.level,19.45833333,
402,Ranunculus gramineus,Ranunculus gramineus,Ranunculaceae,4,Generalist,Generalist,sp.level,14,Fadb
403,Ranunculus nigrescens,Ranunculus nigrescens,Ranunculaceae,3,Generalist,Generalist,gen.level,19.45833333,
404,Ranunculus parnassiifolius,Ranunculus parnassiifolius,Ranunculaceae,27,Specialist.4.4,Specialist,gen.level,19.45833333,
405,Ranunculus polyanthemos subsp. nemorosus,Ranunculus polyanthemos,Ranunculaceae,13,Generalist,Generalist,gen.level,19.45833333,
406,Ranunculus thora,Ranunculus thora,Ranunculaceae,3,Generalist,Generalist,gen.level,19.45833333,
407,Reseda glauca,Reseda glauca,Resedaceae,24,Generalist,Generalist,gen.level,32.61428571,
408,Rhamnus alpina,Rhamnus alpina,,2,Casual,Generalist,gen.level,29.9,
410,Rhinanthus angustifolius,Rhinanthus angustifolius,,19,Generalist,Generalist,,,
411,Rhinanthus minor,Rhinanthus minor,,22,Generalist,Generalist,,,
412,Ribes alpinum,Ribes alpinum,Grossulariaceae,1,Casual,Generalist,sp.level,18.7,Fadb
413,Romulea bulbocodium,Romulea bulbocodium,,1,Casual,Generalist,,,
414,Rosa spinosissima,Rosa spinosissima,Rosaceae,1,Casual,Generalist,sp.level,5.4,SID
415,Rumex acetosa,Rumex acetosa,Polygonaceae,3,Generalist,Generalist,gen.level,3.097142857,
416,Rumex acetosella subsp. angiocarpus,Rumex acetosella,Polygonaceae,42,Generalist,Generalist,sp.level,2.65,SID
417,Rumex bucephalophorus,Rumex bucephalophorus,Polygonaceae,1,Casual,Generalist,gen.level,3.097142857,
418,Rumex suffruticosus,Rumex suffruticosus,Polygonaceae,13,Generalist,Generalist,gen.level,3.097142857,
419,Sagina apetala,Sagina apetala,Caryophyllaceae,1,Casual,Generalist,,,
420,Sagina saginoides,Sagina saginoides,Caryophyllaceae,13,Generalist,Generalist,,,
421,Salix breviserrata subsp. fontqueri,Salix breviserrata,Salicaceae,42,Specialist.4.4,Specialist,sp.level,5.687,Own data
422,Sanguisorba minor,Sanguisorba minor,Rosaceae,8,Generalist,Generalist,sp.level,9.4,SID
423,Saponaria caespitosa,Saponaria caespitosa,,1,Specialist.4.4,Specialist,gen.level,5.0375,
424,Satureja rivas-martinezii,Satureja rivas-martinezii,,1,Casual,Generalist,gen.level,28.11428571,
425,Saxifraga aizoides,Saxifraga aizoides,Saxifragaceae,1,Casual,Generalist,gen.level,30.25,
426,Saxifraga canaliculata,Saxifraga canaliculata,Saxifragaceae,39,Generalist,Generalist,gen.level,30.25,
427,Saxifraga conifera,Saxifraga conifera,Saxifragaceae,204,Specialist.4.4,Specialist,sp.level,30.123,Own data
428,Saxifraga cuneata,Saxifraga cuneata,Saxifragaceae,4,Generalist,Generalist,gen.level,30.25,
429,Saxifraga fragosoi,Saxifraga fragosoi,Saxifragaceae,2,Casual,Generalist,gen.level,30.25,
430,Saxifraga granulata,Saxifraga granulata,Saxifragaceae,14,Generalist,Generalist,sp.level,30,Fadb
431,Saxifraga hirsuta,Saxifraga hirsuta,Saxifragaceae,2,Casual,Generalist,gen.level,30.25,
432,Saxifraga moschata,Saxifraga moschata,Saxifragaceae,25,Specialist.4.3,Specialist,gen.level,30.25,
433,Saxifraga oppositifolia,Saxifraga oppositifolia,Saxifragaceae,66,Specialist.4.4,Specialist,sp.level,25,Fadb
434,Saxifraga paniculata,Saxifraga paniculata,Saxifragaceae,101,Generalist,Generalist,sp.level,17.18,Own data
435,Saxifraga pentadactylis subsp. willkommiana,Saxifraga pentadactylis,Saxifragaceae,3,Generalist,Generalist,gen.level,30.25,
436,Saxifraga spathularis,Saxifraga spathularis,Saxifragaceae,7,Generalist,Generalist,gen.level,30.25,
437,Scabiosa columbaria,Scabiosa columbaria,,9,Generalist,Generalist,gen.level,19.83333333,
